population,individual,continuity_false_t1,continuity_false_t2,continuity_true_t1,continuity_true_t2,LRT,p
CHB,HRR051935,0.01863624,0.08983236,0.0322175,0,1526.031223,-inf
CHB,HRR051936,0.01444248,0.05626988,0.01932595,0,216.0687586,-110.9525448
CHB,HRR051937,0.00901273,0.04860946,0.01587768,0,605.8266472,-306.3440558
CHB,HRR051938_HRR051939_HRR051940,0.0106094,0.09466618,0.02747947,0,1021.900327,-514.6416408
CHB,HRR051941,0.01586096,0.06137745,0.02480084,0,809.4676185,-408.3090206
CHB,HRR051942,0.03069731,0.38675071,0.03892874,0,315.9917373,-161.102658
CHB,HRR051943_HRR051944,0.02273589,0.0583117,0.02831948,0,302.0603796,-154.1145782
CHB,HRR051945_HRR051946,0.00708804,0.64217639,0.00708802,0,-7.64E-11,0
CHB,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.01740883,0.08419151,0.03054878,0,584.0784131,-295.4517204
CHB,HRR051955_HRR051956_HRR051958_HRR051959,0.01736465,0.0781955,0.02205146,0,91.65797603,-48.32443879
CHB,HRR051960,0.00901512,0.0392855,0.0100003,0,5.0656232,-3.71297016
CHS,HRR051935,0.02209104,0.09426719,0.03659248,0,1669.175989,-inf
CHS,HRR051936,0.01637221,0.06615286,0.02225323,0,291.5616159,-148.8476259
CHS,HRR051937,0.01127349,0.05342045,0.01910216,0,738.6054191,-372.8322322
CHS,HRR051938_HRR051939_HRR051940,0.01139631,0.10494861,0.03004993,0,1193.396924,-600.4673691
CHS,HRR051941,0.01765,0.06658835,0.02764404,0,948.0252192,-477.6666436
CHS,HRR051942,0.02609514,0.3789934,0.03442113,0,304.5950266,-155.3860527
CHS,HRR051943_HRR051944,0.01945347,0.05541027,0.02477413,0,274.4492224,-140.2613967
CHS,HRR051945_HRR051946,0.00285909,0.09984205,0.00285916,0,-9.09E-11,0
CHS,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.01248584,0.0747238,0.02430867,0,473.6262363,-240.1212191
CHS,HRR051955_HRR051956_HRR051958_HRR051959,0.01501193,0.06667902,0.01905186,0,69.25274567,-36.98499791
CHS,HRR051960,0.00759977,0.04564381,0.00872729,0,6.71672658,-4.65108036
CDX,HRR051935,0.02954619,0.10475139,0.04633332,0,2041.333618,-inf
CDX,HRR051936,0.02427315,0.08444138,0.03188562,0,457.5311729,-232.0564741
CDX,HRR051937,0.01985556,0.06318628,0.02947895,0,997.4956218,-502.4272261
CDX,HRR051938_HRR051939_HRR051940,0.01907247,0.12634255,0.0413315,0,1586.724166,-inf
CDX,HRR051941,0.02630787,0.07630689,0.03810472,0,1220.083404,-613.8216484
CDX,HRR051942,0.02695198,0.34976342,0.03466985,0,271.5860489,-138.8246041
CDX,HRR051943_HRR051944,0.01908757,0.04828633,0.02368507,0,210.3959888,-108.1029792
CDX,HRR051945_HRR051946,0.0035167,0.38354297,0.00351667,0,5.09E-11,-5.69E-06
CDX,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.0147844,0.07307901,0.02621201,0,451.7687459,-229.1689509
CDX,HRR051955_HRR051956_HRR051958_HRR051959,0.01467068,0.06540483,0.01865397,0,67.16811352,-35.92781819
CDX,HRR051960,0.01106453,0.06829865,0.01269824,0,14.31633712,-8.7751997
JPT,HRR051935,0.02395051,0.09069923,0.038261,0,1533.543604,-inf
JPT,HRR051936,0.02105655,0.06639097,0.02709436,0,288.3426349,-147.2326221
JPT,HRR051937,0.01411011,0.05092768,0.02170196,0,654.2289983,-330.583542
JPT,HRR051938_HRR051939_HRR051940,0.01511385,0.1023625,0.033541,0,1127.16921,-567.3250141
JPT,HRR051941,0.01986722,0.06100947,0.02911889,0,794.5140174,-400.8229201
JPT,HRR051942,0.03750604,0.4408982,0.04620287,0,364.8098361,-185.5831201
JPT,HRR051943_HRR051944,0.02843682,0.06912106,0.0352072,0,406.3805913,-206.4221779
JPT,HRR051945_HRR051946,0.01055217,0.72090485,0.01055206,0,-2.73E-10,0
JPT,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.02494885,0.10098827,0.04041884,0,752.6571628,-379.8675019
JPT,HRR051955_HRR051956_HRR051958_HRR051959,0.02598748,0.10135303,0.03188264,0,137.1629737,-71.27502534
JPT,HRR051960,0.01497094,0.09589574,0.01728744,0,26.34006343,-15.06626756
KHV,HRR051935,0.02450973,0.10570453,0.04097137,0,2089.067857,-inf
KHV,HRR051936,0.01794472,0.07668914,0.02484586,0,392.2345068,-199.3315082
KHV,HRR051937,0.01433619,0.06349208,0.02376059,0,1023.512125,-515.448326
KHV,HRR051938_HRR051939_HRR051940,0.01311903,0.1193827,0.03446352,0,1523.906219,-inf
KHV,HRR051941,0.02018172,0.07495303,0.03139478,0,1190.848689,-599.1921847
KHV,HRR051942,0.02396694,0.30899945,0.0308915,0,236.0402378,-120.982104
KHV,HRR051943_HRR051944,0.01569701,0.04860325,0.02030024,0,218.7264957,-112.2874711
KHV,HRR051945_HRR051946,0.00117335,0.71976674,0.00117335,0,-3.64E-11,0
KHV,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.0108689,0.07092037,0.02197552,0,452.5464922,-229.5586804
KHV,HRR051955_HRR051956_HRR051958_HRR051959,0.01090855,0.0616451,0.01467471,0,63.95791485,-34.29892806
KHV,HRR051960,0.00720191,0.04819688,0.00839813,0,7.68728124,-5.19195324
CEU,HRR051935,0.04511412,0.2450079,0.09178717,0,10286.31503,-inf
CEU,HRR051936,0.04968768,0.31481254,0.08120311,0,5178.628048,-inf
CEU,HRR051937,0.04318425,0.22223623,0.08626033,0,10975.42758,-inf
CEU,HRR051938_HRR051939_HRR051940,0.04824087,0.39923164,0.11340799,0,9538.911901,-inf
CEU,HRR051941,0.04776853,0.22910021,0.09141035,0,9959.227,-inf
CEU,HRR051942,0.05471432,1.73384161,0.06980448,0,1554.015492,-inf
CEU,HRR051943_HRR051944,0.04776552,0.27429307,0.0771419,0,5415.496994,-inf
CEU,HRR051945_HRR051946,0.05168718,0.02552051,0.0516872,0,1.82E-11,-3.40E-06
CEU,HRR051947_HRR051948_HRR051949_HRR051950_HRR051951_HRR051952_HRR051954,0.05414884,0.40573079,0.10769217,0,6664.111121,-inf
CEU,HRR051955_HRR051956_HRR051958_HRR051959,0.05450243,0.5485677,0.07741853,0,1769.824198,-inf
CEU,HRR051960,0.04923375,1.2401425,0.06165974,0,1036.498767,-521.947939
